committee_name,donor_name,amount,date,candidate_name,race_name
Arizona Future Coalition,Gila River Foundation,95234.1,2023-02-07,Liam Martinez,State Senate District 5
Citizens for Fair Elections,Copper Ridge Holdings,95657.73,2022-12-08,Ella Brown,State Senate District 12
Protect Arizona Values PAC,Desert Orchard LLC,64296.12,2020-02-09,Benjamin Walker,State House District 20
Arizona Families First,Sunrise Ventures LLC,81952.15,2024-02-21,Emily Brown,Attorney General
Vote Integrity Fund,Saguaro Capital,6513.87,2024-02-02,Ethan Brown,US House District 1
Bold Arizona Voices,Horizon Media Group,31708.96,2022-10-19,Liam Moore,State Treasurer
Neighbors for Better Government,Sunrise Ventures LLC,132649.17,2024-07-22,Ella Robinson,State Senate District 12
Vote Integrity Fund,Desert Orchard LLC,146436.85,2021-12-26,Mason Davis,US House District 1
Bold Arizona Voices,Pioneer Energy Group,138691.97,2024-08-13,Elijah Hall,Governor
Arizona Workers Alliance,Red Rock Philanthropy,40204.16,2021-03-18,Daniel Wilson,Secretary of State
Desert Shores Coalition,Southwest AgriFund,30136.03,2025-02-28,James Wilson,Governor
Valley Voters Alliance,Canyon Ridge Investments,3793.75,2022-03-02,Mason Wilson,Secretary of State
Desert Shores Coalition,Mesa Community Trust,52834.13,2025-09-17,Noah Anderson,State Senate District 5
Desert Shores Coalition,Red Rock Philanthropy,140900.76,2021-04-17,Benjamin Thomas,Secretary of State
Bold Arizona Voices,Canyon Ridge Investments,5979.02,2024-11-14,Evelyn Anderson,US House District 1
Valley Voters Alliance,Desert Orchard LLC,91029.78,2025-09-25,Mia White,State Treasurer
Arizona Families First,Pioneer Energy Group,38394.7,2024-11-21,Evelyn Miller,Attorney General
Citizens for Fair Elections,Saguaro Capital,107984.64,2022-03-18,Benjamin Lee,Attorney General
Valley Voters Alliance,Pioneer Energy Group,93567.52,2021-05-25,Michael Thomas,US Senate
Desert Sunrise Action,Horizon Media Group,100117.21,2023-08-29,Harper Taylor,State Senate District 5
Desert Shores Coalition,Desert Orchard LLC,28978.05,2024-04-01,Benjamin Brown,State Senate District 5
Neighbors for Better Government,Desert Orchard LLC,85473.51,2024-07-21,Elijah Rodriguez,Attorney General
Arizona Future Coalition,Southwest AgriFund,31724.86,2023-08-12,Lucas Taylor,Governor
Keep AZ Moving Committee,Gila River Foundation,76798.31,2021-11-26,Michael Miller,State House District 20
Neighbors for Better Government,Sunrise Ventures LLC,95032.89,2023-10-04,Harper Lee,State Senate District 5
Arizona Families First,Southwest AgriFund,46735.31,2022-03-26,Mason Lee,State Treasurer
Protect Arizona Values PAC,Copper Ridge Holdings,91788.28,2020-10-25,Mason Martin,Governor
Keep AZ Moving Committee,Pioneer Energy Group,29366.68,2024-04-21,Abigail Clark,Attorney General
Keep AZ Moving Committee,Pioneer Energy Group,103221.46,2021-03-12,Olivia Lewis,US House District 2
Arizona Workers Alliance,Pioneer Energy Group,77814.17,2020-07-24,Elijah Walker,US House District 2
Arizona Future Coalition,Desert Tech Partners,20217.53,2025-03-18,Emma Harris,Attorney General
Neighbors for Better Government,Saguaro Capital,142518.43,2024-12-17,Jacob Thomas,Maricopa County Supervisor District 2
Vote Integrity Fund,Southwest AgriFund,124627.73,2024-12-31,Harper White,Tucson City Council District 1
Bold Arizona Voices,Valley Healthcare Group,39063.93,2022-10-09,James Harris,Tucson City Council District 1
Clean Government Project,Red Rock Philanthropy,72818.4,2022-09-06,Ella Thompson,State Senate District 5
Grand Canyon Progress PAC,Gila River Foundation,35365.41,2023-10-07,Emily Taylor,US Senate
Valley Voters Alliance,Horizon Media Group,22836.89,2024-04-17,Noah Brown,Maricopa County Supervisor District 2
Desert Sunrise Action,Valley Healthcare Group,62376.47,2023-09-17,Sophia Martinez,Tucson City Council District 1
Arizona Future Coalition,Gila River Foundation,124975.45,2024-05-14,Liam Miller,State House District 7
Bold Arizona Voices,Frontier Manufacturing Co.,128545.62,2024-04-07,Emily Smith,Pima County Board District 3
Keep AZ Moving Committee,Copper Ridge Holdings,128053.83,2024-09-12,Lucas Jackson,State Senate District 12
Arizona Future Coalition,Desert Orchard LLC,134697.25,2025-06-22,Benjamin Rodriguez,Tucson City Council District 1
Sunrise Civic Action Fund,Canyon Ridge Investments,58481.37,2024-07-14,James Smith,State House District 7
Desert Sunrise Action,Valley Healthcare Group,147113.12,2025-12-27,Charlotte Brown,Secretary of State
Citizens for Fair Elections,Horizon Media Group,99534.21,2020-12-09,Evelyn Clark,State House District 7
Neighbors for Better Government,Pioneer Energy Group,7780.12,2024-04-01,Charlotte Davis,US House District 1
Valley Voters Alliance,Desert Tech Partners,114244.15,2024-04-01,Mia Thomas,State House District 20
Grand Canyon Progress PAC,Frontier Manufacturing Co.,125277.91,2025-04-10,Ethan Anderson,Secretary of State
Citizens for Fair Elections,Desert Orchard LLC,33827.27,2020-10-08,Liam Moore,Maricopa County Supervisor District 2
Arizona Workers Alliance,Red Rock Philanthropy,142454.36,2022-03-27,Ella Smith,Governor
Clean Government Project,Copper Ridge Holdings,19151.59,2021-04-13,Olivia Wilson,Pima County Board District 3
Vote Integrity Fund,Desert Tech Partners,115092.99,2021-11-18,Emily Anderson,State House District 20
Vote Integrity Fund,Blue Sky Developers,116724.33,2021-11-01,Emily Garcia,Tucson City Council District 1
Grand Canyon Progress PAC,Sunrise Ventures LLC,86475.56,2024-03-17,Ava Taylor,Pima County Board District 3
Desert Shores Coalition,Desert Orchard LLC,103669.51,2022-09-21,Noah Clark,US House District 2
Arizona Families First,Desert Orchard LLC,90161.64,2021-05-10,Lucas Lee,State Treasurer
Arizona Workers Alliance,Blue Sky Developers,80028.6,2024-02-26,Liam Moore,State Treasurer
Arizona Families First,Saguaro Capital,127473.95,2025-06-30,Mia Smith,Phoenix City Council District 4
Arizona Families First,Pioneer Energy Group,106169.47,2024-11-18,Abigail Harris,State Senate District 12
Protect Arizona Values PAC,Desert Orchard LLC,92482.88,2025-06-03,Abigail Anderson,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Pioneer Energy Group,40442.23,2022-10-02,Daniel Clark,Secretary of State
Clean Government Project,Horizon Media Group,36768.55,2025-03-18,Isabella Harris,US Senate
Vote Integrity Fund,Blue Sky Developers,4547.82,2023-08-24,Amelia Thomas,Phoenix City Council District 4
Protect Arizona Values PAC,Gila River Foundation,51215.74,2023-02-05,Logan Anderson,US House District 2
Arizona Future Coalition,Copper Ridge Holdings,36393.07,2024-07-22,Sophia Martinez,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Saguaro Capital,71544.94,2025-07-03,Mason Walker,State Treasurer
Keep AZ Moving Committee,Frontier Manufacturing Co.,33434.06,2022-09-23,Noah Taylor,Governor
Grand Canyon Progress PAC,Red Rock Philanthropy,83132.58,2023-11-09,Logan Martin,Pima County Board District 3
Desert Shores Coalition,Desert Orchard LLC,105502.53,2023-01-14,Mia Moore,Maricopa County Supervisor District 2
Grand Canyon Progress PAC,Canyon Ridge Investments,29089.5,2021-05-04,Emma Hall,US House District 2
Desert Sunrise Action,Saguaro Capital,28933.26,2025-06-06,Emily Davis,State Treasurer
Grand Canyon Progress PAC,Desert Orchard LLC,89619.41,2021-02-15,Ella Thompson,Pima County Board District 3
Clean Government Project,Desert Tech Partners,27121.37,2020-02-27,Mason Moore,State Senate District 5
Desert Sunrise Action,Saguaro Capital,146150.67,2023-04-11,Isabella Johnson,US House District 1
Desert Sunrise Action,Valley Healthcare Group,15612.5,2020-02-20,Ella Martin,Phoenix City Council District 4
Vote Integrity Fund,Canyon Ridge Investments,51270.71,2020-07-29,James Harris,State House District 20
Grand Canyon Progress PAC,Southwest AgriFund,60255.94,2020-10-30,Emma Martinez,State House District 20
Vote Integrity Fund,Red Rock Philanthropy,22592.34,2023-05-29,Liam Brown,Phoenix City Council District 4
Arizona Families First,Desert Tech Partners,91046.07,2022-07-13,Benjamin White,US Senate
Arizona Workers Alliance,Saguaro Capital,44778.63,2024-10-22,Charlotte Harris,State House District 7
Grand Canyon Progress PAC,Blue Sky Developers,144026.29,2021-02-10,Liam Rodriguez,Pima County Board District 3
Arizona Workers Alliance,Desert Tech Partners,99149.11,2021-10-05,Sophia Anderson,Phoenix City Council District 4
Sunrise Civic Action Fund,Valley Healthcare Group,650.69,2025-01-19,Noah Davis,Maricopa County Supervisor District 2
Desert Sunrise Action,Blue Sky Developers,34913.57,2023-03-04,Lucas Johnson,State House District 20
Desert Sunrise Action,Southwest AgriFund,35205.21,2022-12-19,Noah Lee,State House District 20
Arizona Workers Alliance,Frontier Manufacturing Co.,120634.88,2022-03-21,Evelyn Lee,Phoenix City Council District 4
Desert Shores Coalition,Sunrise Ventures LLC,22561.16,2022-12-24,Mason Lewis,Maricopa County Supervisor District 2
Clean Government Project,Valley Healthcare Group,118946.13,2023-03-28,Liam Davis,US Senate
Keep AZ Moving Committee,Sunrise Ventures LLC,105035.12,2023-01-20,Emily Taylor,State House District 20
Arizona Future Coalition,Saguaro Capital,89805.99,2024-11-04,Charlotte Martinez,State House District 20
Desert Sunrise Action,Mesa Community Trust,13926.2,2020-03-25,Isabella Smith,Pima County Board District 3
Arizona Workers Alliance,Red Rock Philanthropy,6274.69,2021-12-18,Isabella Clark,Secretary of State
Keep AZ Moving Committee,Saguaro Capital,27428.0,2024-11-20,Charlotte Anderson,Phoenix City Council District 4
Neighbors for Better Government,Southwest AgriFund,52357.17,2023-09-27,Noah Martin,State House District 20
Valley Voters Alliance,Red Rock Philanthropy,61893.85,2025-07-22,Elijah Thomas,US Senate
Grand Canyon Progress PAC,Red Rock Philanthropy,5745.4,2020-12-26,Ella Robinson,State House District 7
Valley Voters Alliance,Canyon Ridge Investments,129770.36,2020-01-05,Emma Jackson,State Senate District 12
Neighbors for Better Government,Southwest AgriFund,8367.06,2025-10-24,Charlotte White,Maricopa County Supervisor District 2
Valley Voters Alliance,Blue Sky Developers,66445.63,2020-07-30,James Lewis,State Treasurer
Sunrise Civic Action Fund,Canyon Ridge Investments,65857.89,2025-06-08,Olivia Taylor,Maricopa County Supervisor District 2
Arizona Families First,Copper Ridge Holdings,106539.98,2023-06-26,Jacob Wilson,Phoenix City Council District 4
Arizona Future Coalition,Copper Ridge Holdings,33898.92,2021-04-09,Ethan Martinez,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Sunrise Ventures LLC,139914.8,2023-04-10,Olivia Martin,Phoenix City Council District 4
Arizona Future Coalition,Desert Orchard LLC,147041.63,2022-09-25,Ethan Martin,State Senate District 5
Keep AZ Moving Committee,Saguaro Capital,138299.76,2025-09-12,Amelia Miller,US House District 1
Desert Sunrise Action,Horizon Media Group,115958.1,2024-08-26,Noah Anderson,US House District 1
Valley Voters Alliance,Horizon Media Group,123127.28,2023-03-04,Harper Anderson,State Treasurer
Desert Sunrise Action,Canyon Ridge Investments,149835.62,2025-06-28,Evelyn Clark,Secretary of State
Clean Government Project,Valley Healthcare Group,51932.31,2024-03-25,Benjamin Martin,State House District 20
Keep AZ Moving Committee,Horizon Media Group,36011.13,2024-04-17,Sophia Walker,State Senate District 12
Sunrise Civic Action Fund,Southwest AgriFund,47896.91,2025-04-21,Ethan Johnson,State Treasurer
Desert Sunrise Action,Horizon Media Group,148265.0,2021-09-15,Amelia Jackson,State Treasurer
Keep AZ Moving Committee,Copper Ridge Holdings,49966.21,2021-02-15,Harper Clark,US House District 1
Clean Government Project,Southwest AgriFund,136588.64,2020-03-03,Emma Thompson,State House District 20
Desert Sunrise Action,Valley Healthcare Group,11455.53,2022-12-21,Abigail Brown,State House District 7
Valley Voters Alliance,Blue Sky Developers,12277.22,2023-09-07,Amelia Lewis,Tucson City Council District 1
Clean Government Project,Red Rock Philanthropy,143132.4,2025-06-21,Benjamin Jackson,Secretary of State
Clean Government Project,Saguaro Capital,35406.84,2023-03-23,Jacob Martinez,Governor
Sunrise Civic Action Fund,Desert Orchard LLC,114115.36,2021-02-15,Ethan Garcia,US Senate
Keep AZ Moving Committee,Valley Healthcare Group,7137.15,2020-08-17,Lucas Smith,Tucson City Council District 1
Grand Canyon Progress PAC,Mesa Community Trust,36818.57,2024-08-14,Ethan Brown,State Senate District 12
Vote Integrity Fund,Red Rock Philanthropy,26466.64,2024-04-15,Elijah Davis,State Treasurer
Vote Integrity Fund,Red Rock Philanthropy,21681.88,2025-03-03,James Clark,US House District 2
Neighbors for Better Government,Canyon Ridge Investments,1657.27,2025-03-20,Isabella Lee,State House District 20
Bold Arizona Voices,Canyon Ridge Investments,11310.82,2023-11-16,Benjamin Davis,Phoenix City Council District 4
Vote Integrity Fund,Canyon Ridge Investments,37702.21,2023-05-22,Ethan Walker,Phoenix City Council District 4
Sunrise Civic Action Fund,Pioneer Energy Group,35771.55,2024-01-10,James Garcia,Secretary of State
Vote Integrity Fund,Canyon Ridge Investments,146697.19,2024-06-09,Lucas Smith,Tucson City Council District 1
Grand Canyon Progress PAC,Copper Ridge Holdings,146047.02,2025-07-27,Michael Hall,Pima County Board District 3
Clean Government Project,Horizon Media Group,91157.98,2023-12-14,Lucas Wilson,Attorney General
Sunrise Civic Action Fund,Red Rock Philanthropy,101745.23,2021-07-14,Jacob Anderson,US House District 2
Neighbors for Better Government,Sunrise Ventures LLC,6153.53,2024-12-10,Abigail Lewis,Attorney General
Citizens for Fair Elections,Blue Sky Developers,13747.47,2023-04-23,Daniel Brown,State Senate District 12
Valley Voters Alliance,Desert Orchard LLC,20040.93,2024-02-07,Elijah Miller,State House District 7
Arizona Future Coalition,Saguaro Capital,38731.27,2025-05-27,Isabella Davis,Attorney General
Arizona Workers Alliance,Canyon Ridge Investments,70382.63,2020-11-04,Mia Garcia,Tucson City Council District 1
Protect Arizona Values PAC,Frontier Manufacturing Co.,101242.33,2024-06-15,Michael Hall,US House District 2
Clean Government Project,Frontier Manufacturing Co.,118654.62,2020-02-27,Logan Martinez,Maricopa County Supervisor District 2
Grand Canyon Progress PAC,Saguaro Capital,101006.05,2022-12-09,Charlotte Moore,US Senate
Vote Integrity Fund,Pioneer Energy Group,16474.83,2022-08-15,Abigail Moore,Secretary of State
Keep AZ Moving Committee,Copper Ridge Holdings,137309.57,2022-06-25,Benjamin Thomas,Pima County Board District 3
Neighbors for Better Government,Sunrise Ventures LLC,45502.98,2024-07-30,Charlotte Walker,Phoenix City Council District 4
Arizona Families First,Valley Healthcare Group,149390.12,2021-04-20,Liam Taylor,Governor
Arizona Families First,Desert Tech Partners,58449.71,2024-02-28,Benjamin Brown,Attorney General
Neighbors for Better Government,Desert Orchard LLC,88204.22,2021-09-24,Benjamin White,Tucson City Council District 1
Bold Arizona Voices,Pioneer Energy Group,92443.92,2023-02-19,Emma Martin,Phoenix City Council District 4
Citizens for Fair Elections,Desert Orchard LLC,66843.21,2022-08-25,Sophia Harris,State Senate District 12
Clean Government Project,Mesa Community Trust,81783.76,2024-01-09,Michael Moore,US Senate
Citizens for Fair Elections,Pioneer Energy Group,142364.37,2025-02-05,Sophia Garcia,State Senate District 5
Arizona Families First,Red Rock Philanthropy,89672.61,2020-03-28,Abigail Lewis,US House District 2
Citizens for Fair Elections,Frontier Manufacturing Co.,118099.97,2022-04-20,Mason Brown,State Senate District 12
Arizona Families First,Southwest AgriFund,88060.87,2022-08-12,Benjamin Miller,State Treasurer
Valley Voters Alliance,Frontier Manufacturing Co.,41771.91,2021-08-15,Jacob Smith,US House District 1
Protect Arizona Values PAC,Saguaro Capital,99243.38,2020-04-15,Elijah Garcia,State Senate District 5
Protect Arizona Values PAC,Copper Ridge Holdings,48734.78,2021-12-14,Mason Clark,State Senate District 12
Grand Canyon Progress PAC,Copper Ridge Holdings,79031.31,2020-09-17,Daniel White,US House District 1
Keep AZ Moving Committee,Gila River Foundation,89151.49,2025-01-25,Logan Thompson,State Treasurer
Arizona Future Coalition,Desert Tech Partners,117538.24,2025-11-05,Liam Hall,Pima County Board District 3
Grand Canyon Progress PAC,Gila River Foundation,149788.37,2024-07-03,Ava Johnson,Phoenix City Council District 4
Desert Shores Coalition,Red Rock Philanthropy,136477.7,2020-10-28,James Walker,US Senate
Bold Arizona Voices,Sunrise Ventures LLC,10085.91,2023-01-31,Jacob Brown,State Senate District 12
Vote Integrity Fund,Red Rock Philanthropy,48946.52,2025-12-13,Benjamin Walker,Pima County Board District 3
Grand Canyon Progress PAC,Gila River Foundation,15101.97,2021-04-13,Jacob White,Maricopa County Supervisor District 2
Clean Government Project,Red Rock Philanthropy,108195.78,2022-05-30,Ella Robinson,Phoenix City Council District 4
Desert Shores Coalition,Gila River Foundation,51005.01,2025-01-31,Mason White,Attorney General
Desert Shores Coalition,Pioneer Energy Group,64157.91,2022-11-10,Emma Thomas,Tucson City Council District 1
Valley Voters Alliance,Valley Healthcare Group,13910.91,2020-12-15,James Martinez,Phoenix City Council District 4
Arizona Families First,Pioneer Energy Group,56053.87,2021-06-16,Daniel Hall,US Senate
Arizona Future Coalition,Copper Ridge Holdings,49614.49,2021-05-15,Benjamin Robinson,Pima County Board District 3
Desert Shores Coalition,Mesa Community Trust,130246.8,2020-07-29,Michael White,Secretary of State
Grand Canyon Progress PAC,Blue Sky Developers,86793.3,2022-05-21,Logan Garcia,State Senate District 5
Protect Arizona Values PAC,Red Rock Philanthropy,52679.57,2024-02-14,Mason Garcia,State House District 20
Arizona Families First,Frontier Manufacturing Co.,121131.4,2020-04-17,Evelyn Wilson,State Senate District 5
Vote Integrity Fund,Horizon Media Group,4585.74,2023-01-24,Emily Anderson,Phoenix City Council District 4
Desert Sunrise Action,Frontier Manufacturing Co.,1164.34,2021-08-09,Mia Moore,State Senate District 5
Vote Integrity Fund,Red Rock Philanthropy,111210.12,2020-05-05,Noah Brown,State House District 7
Arizona Families First,Desert Orchard LLC,63119.92,2023-10-28,Sophia Jackson,Maricopa County Supervisor District 2
Protect Arizona Values PAC,Mesa Community Trust,116581.13,2020-12-13,Daniel Thomas,State Senate District 5
Bold Arizona Voices,Copper Ridge Holdings,7701.93,2020-11-30,Elijah Rodriguez,US House District 1
Grand Canyon Progress PAC,Gila River Foundation,91159.63,2024-08-23,Ethan Martin,Phoenix City Council District 4
Grand Canyon Progress PAC,Desert Tech Partners,51939.64,2021-03-30,Harper Garcia,State Treasurer
Grand Canyon Progress PAC,Red Rock Philanthropy,79158.38,2023-06-17,Evelyn Martin,Phoenix City Council District 4
Citizens for Fair Elections,Desert Tech Partners,1401.14,2023-05-19,Jacob Johnson,State House District 7
Sunrise Civic Action Fund,Frontier Manufacturing Co.,43594.71,2021-05-06,Ella Anderson,US House District 1
Citizens for Fair Elections,Gila River Foundation,19595.56,2025-12-21,Ethan Davis,Tucson City Council District 1
Desert Sunrise Action,Desert Tech Partners,120978.48,2020-10-22,Benjamin Lee,Maricopa County Supervisor District 2
Desert Shores Coalition,Southwest AgriFund,3056.55,2020-11-14,Liam White,Tucson City Council District 1
Clean Government Project,Mesa Community Trust,60812.33,2024-09-06,Ethan Clark,Pima County Board District 3
Grand Canyon Progress PAC,Sunrise Ventures LLC,25988.01,2025-02-27,Ava Thomas,State House District 7
Clean Government Project,Desert Orchard LLC,65647.59,2021-03-09,Logan Martinez,Attorney General
Sunrise Civic Action Fund,Pioneer Energy Group,12027.4,2023-06-24,Amelia Thompson,Pima County Board District 3
Desert Sunrise Action,Mesa Community Trust,11687.81,2021-04-12,Mia Davis,US House District 2
Arizona Future Coalition,Saguaro Capital,52827.19,2021-08-27,Ella Moore,US House District 2
Sunrise Civic Action Fund,Sunrise Ventures LLC,26231.48,2021-09-18,Isabella Miller,US House District 1
Arizona Workers Alliance,Frontier Manufacturing Co.,142706.0,2025-07-16,Noah Davis,Phoenix City Council District 4
Keep AZ Moving Committee,Frontier Manufacturing Co.,67473.56,2023-08-16,Ella Clark,Pima County Board District 3
Clean Government Project,Red Rock Philanthropy,10475.87,2024-12-16,Olivia Harris,State Senate District 12
Neighbors for Better Government,Canyon Ridge Investments,8661.78,2025-09-09,Isabella Clark,State Treasurer
Arizona Families First,Canyon Ridge Investments,8769.29,2023-03-21,Charlotte Johnson,State House District 20
Arizona Families First,Red Rock Philanthropy,89213.45,2024-04-23,Noah Rodriguez,Secretary of State
Keep AZ Moving Committee,Blue Sky Developers,67597.62,2022-02-10,Daniel Johnson,Maricopa County Supervisor District 2
Valley Voters Alliance,Blue Sky Developers,143668.92,2025-01-19,Harper Brown,State House District 20
Arizona Families First,Frontier Manufacturing Co.,12878.29,2021-12-07,Mia Walker,Attorney General
Citizens for Fair Elections,Desert Tech Partners,78729.27,2021-10-12,Charlotte Harris,Tucson City Council District 1
Valley Voters Alliance,Mesa Community Trust,61463.22,2023-10-17,Lucas Jackson,Attorney General
Neighbors for Better Government,Blue Sky Developers,50363.74,2023-09-12,Abigail Lewis,Governor
Arizona Families First,Saguaro Capital,37986.37,2021-09-07,Amelia Taylor,Phoenix City Council District 4
Valley Voters Alliance,Sunrise Ventures LLC,137532.78,2023-06-24,Michael Brown,Pima County Board District 3
Neighbors for Better Government,Desert Orchard LLC,89357.42,2020-12-13,Amelia Brown,Phoenix City Council District 4
Grand Canyon Progress PAC,Saguaro Capital,122024.42,2025-11-26,Abigail Thomas,State House District 7
Arizona Families First,Red Rock Philanthropy,54433.76,2024-01-25,Ethan Thompson,Phoenix City Council District 4
Grand Canyon Progress PAC,Valley Healthcare Group,29002.78,2021-07-17,Mia Martin,US House District 2
Protect Arizona Values PAC,Sunrise Ventures LLC,115688.49,2025-11-26,Emma Thompson,State Senate District 5
Citizens for Fair Elections,Red Rock Philanthropy,19874.59,2024-03-23,Ella Rodriguez,State Senate District 12
Protect Arizona Values PAC,Valley Healthcare Group,121404.3,2021-11-09,Emily Rodriguez,US House District 1
Desert Sunrise Action,Gila River Foundation,101535.35,2022-08-30,Ethan Moore,Governor
Keep AZ Moving Committee,Blue Sky Developers,117624.1,2022-08-16,Ella Hall,State Senate District 5
Arizona Future Coalition,Desert Tech Partners,55334.18,2024-12-09,James Miller,State Senate District 5
Keep AZ Moving Committee,Frontier Manufacturing Co.,75560.28,2024-09-10,Ella Jackson,State Senate District 5
